date,Africa Eastern and Southern,Africa Western and Central,Arab World,Caribbean small states,Central Europe and the Baltics,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (excluding high income),Euro area,Europe & Central Asia,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (excluding high income),European Union,Fragile and conflict affected situations,Heavily indebted poor countries (HIPC),High income,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Least developed countries: UN classification,Low & middle income,Low income,Lower middle income,Middle East & North Africa,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (excluding high income),Middle income,North America,Not classified,OECD members,Other small states,Pacific island small states,Post-demographic dividend,Pre-demographic dividend,Small states,South Asia,South Asia (IDA & IBRD),Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (excluding high income),Upper middle income,World
1981,,12777.18956003,107398.613026587,,,266454.14422659,115833.547660415,39684.3814902944,39734.4455536982,,1609759.02947119,1173578.8919665,1052270.57609316,,88713.4245313022,,1834591.51365101,1269040.05220049,1381211.00957109,,,,983235.827583294,127686.546576855,83163.9209720051,125628.917192299,,1214535.60718182,,168034.126660827,117030.370011463,33422.3766095302,33786.199563613,1201417.59291004,1081188.2054093,,1706865.10512678,24142.8907311849,,1817412.08952449,15517.1595667989,35206.4289549984,19843.3709857113,19843.3709857113,,,,929811.216201859,3090164.41542552
1982,,12885.1525871721,72658.0348333716,,,246123.311733271,123190.292964335,42398.0330660235,42451.5205524326,,1648544.73688943,1235901.01757417,1115019.98286002,,87954.4164250296,,1721183.82151793,1335681.09545242,1453731.2051893,,,,1031175.58500929,138996.207695397,92097.228609607,136763.978557557,,1284609.68801873,,172406.793862789,83644.1174010326,28217.752071384,28524.9195130093,1270637.12727261,1014250.60724034,,1628064.09975945,24067.879530511,,1723013.64488087,15662.2766235358,36138.1997371672,22702.1617209408,22702.1617209408,,,,985960.36520861,3029263.8575882
1983,,5884.18839924027,76101.9103726857,,,259765.588360225,127535.440115139,42276.0296573054,42329.3632296012,,1742249.67711875,1317388.52847555,1197910.10042968,,85106.6206430603,,1683509.14368196,1435110.14588741,1553702.45996166,,,,1098033.32869194,145761.527264219,96768.4914624584,143422.535962887,,1383358.02028539,,190532.271443779,90460.399025717,44163.106165192,44643.8485113814,1367996.07685399,972675.051691958,,1600317.74028388,23891.0674146368,,1690584.33029559,8320.74636367799,36673.8284502702,24987.6655440255,24987.6655440255,,,,1059119.47709993,3075650.53538275
1984,,5147.49176552359,129052.464170409,,,348131.058665875,162989.321939822,56650.2494480884,56721.7169013712,,1849768.76631212,1398093.01779878,1297341.26612628,,96198.402258408,,1790769.50484191,1566159.85743413,1694286.7128015,,,,1171253.01798006,152117.304786965,99355.058496682,149670.262701764,,1537162.3971774,,277938.306698083,151190.687679602,72418.9594411012,73207.2839837656,1519642.11901437,1008627.23273393,,1686542.79220762,23130.2395220872,,1785118.02451953,8507.26371678659,35959.6568327995,27296.1008435959,27296.1008435959,,,,1144332.00639952,3330154.24904111
1985,,7015.04119367162,140885.465742569,,,367641.614996271,182418.389975603,63390.0135115137,63469.9835535411,,1991986.07270105,1519131.10841273,1422519.26380217,,100863.495593174,,1811959.10767326,1689455.36118796,1829950.1256008,,,,1276552.63375751,156351.53841322,102811.457507625,153822.170372547,,1675596.90546121,,297670.165467531,164999.858005245,75265.1194191357,76084.4261490664,1656226.18856531,986335.486565982,,1695665.90731595,26586.1126959919,,1794489.76479058,11781.6794713597,42113.8075677224,30196.9326190494,30196.9326190494,,,,1249732.98334785,3472327.74292236
1986,,8333.58739796709,170529.882042216,,,396466.21005294,186026.380874907,63889.1183653603,63969.7180560331,,1941780.32985548,1479031.88092772,1376550.15766638,,115548.09535888,,1772296.38526637,1668493.73027817,1811918.19492896,,,,1255829.2305047,155291.995301162,99382.0917850357,152775.470959745,,1649545.59727859,,318011.933672169,194936.63623229,84718.0282618448,85640.2356699652,1629820.29856322,933641.56955058,,1628350.72226865,31097.5006222363,,1727164.06264932,11817.9467344642,43754.1705016003,34920.816775124,34920.816775124,,,,1217622.86068954,3411783.93606813
1987,,8873.20595132644,186735.444692382,,,430339.592682866,199910.161982008,70325.7224434861,70414.4422696523,,2140530.30322793,1681877.08308719,1585890.66122939,,115562.021010625,,1842565.66930075,1882345.94622961,2039066.60801347,,,,1418369.98106696,163517.248606604,107150.420016251,160843.806896289,,1882065.0623149,,364897.647718163,212792.738922753,97649.5770777073,98712.5522817871,1861041.07953223,985238.690103218,,1695595.22099313,29768.7307817273,,1801203.53685593,13175.3785820879,42922.8301031383,37427.9915375713,37427.9915375713,,,,1389506.11518456,3690359.63922879
1988,,9703.74928997519,195588.913494573,,,461260.309656478,208452.888400347,70225.9014727168,70314.4953691539,,2247599.10342336,1788591.73816618,1696430.75569762,,124516.215083028,,1914478.98337657,2000909.87459064,2170212.72872651,,,,1505828.31051969,172478.445628848,114111.799638956,169659.713085234,,2014417.51954057,,387386.984356567,229371.258508258,108237.901815268,109416.137392056,1990605.00358909,1035093.40824845,,1762058.92435907,34387.2775660773,,1873704.42422954,15377.3195562866,46800.5588073735,42652.5462635858,42652.5462635858,,,,1487657.76608136,3885823.25266143
1989,,10401.5575159435,210424.664975169,,,530958.759491012,219952.997144618,73738.1208146005,73831.1455718755,,2310428.47594087,1797332.81578346,1706963.30343657,,124739.025510957,,2027197.04307969,2076019.73954295,2256573.0965229,,,,1530199.39300961,216422.550130553,157559.611560363,212883.217989645,,2104112.22190048,,417269.896076667,248080.335801149,115286.624652435,116541.589876402,2077814.33941911,1078081.22680073,,1904876.40563243,38636.1262899632,,1979697.44817053,15874.0297438382,54801.5127093494,49405.8660886536,49405.8660886536,,,,1546561.2733018,4082069.65218388
1990,,9839.56431382137,242553.315090815,,,563694.040343195,253331.812933431,93909.3510559874,94027.8229466638,,2371303.45481227,1847701.87730022,1757853.3985779,,129348.416238741,,2138859.08348611,2110898.3221163,2295773.14247261,,,,1563143.13579415,183820.637028984,121467.001070599,180791.925030326,,2138130.20599578,,473754.525990831,276641.833391681,115054.207304832,116306.642524216,2111197.42097568,1129733.37058729,,1948757.10478222,35314.2016886905,,2068221.93696713,17788.4335916936,53222.5238988479,54443.1470900341,54443.1470900341,17796.5165560742,17796.5165560742,17782.890115772,1547228.82969472,4237095.42630304
1991,,11937.6722684106,264251.140571399,,,618752.696649189,268612.954794712,103938.110855497,104069.234586711,,2407678.89750257,1837645.11036456,1766760.11680009,582217.431297489,134322.820902343,,2239284.91857275,2139950.76597869,2332465.89382643,,,,1563499.30649407,191361.108480288,128432.241691431,188221.146502381,,2192447.19772902,,511889.379222537,307536.664727505,126168.002676676,127541.418337113,2164264.22076856,1177632.92982064,,2044734.87270086,39466.6074402813,,2170223.5544863,19956.3665977784,57680.5170422779,59449.8527894335,59449.8527894335,20377.1992402683,20377.1992402683,20361.5968223401,1573405.51331552,4394438.36491346
1992,,12649.5303244319,275882.844984561,,134765.917,610263.656209518,287560.204009168,116041.707186741,116188.100280646,,1950177.1122216,1333491.0742629,1262888.90553054,566362.832323431,91991.7488138988,,2279205.37894836,1692822.43049734,1862231.13831675,123822.603434883,,182691.767694619,1196241.32015978,168527.175619918,130339.574766093,165786.292088334,,1756091.87680185,,544497.242525573,321938.484268666,125487.411033994,126853.4180393,1732298.2972064,1205111.53283926,,2075521.73923049,51168.3547454096,,2203276.90143586,21865.5963811801,70256.6328686752,65446.4338904699,65446.4338904699,21203.4469187836,21203.4469187836,21187.2118593702,1194032.92510333,4045055.41260861
1993,,13946.7979659972,307523.091120065,,130688.213,666729.699201631,314791.144262646,135250.952477316,135421.579106886,,1934532.04703065,1288015.55265347,1218097.38704182,577325.689764806,110179.527032582,,2378210.06753996,1691182.50771716,1867817.47426705,131686.859040971,,192232.121110645,1180807.28111578,182911.530084698,123123.369267017,179939.772411007,,1741399.71733826,,560838.83701199,360908.996999964,140776.008772683,142308.441489064,1717818.52295006,1243624.12836621,,2151572.48404001,58957.7362139546,,2267578.62678367,24007.6590649966,78322.1374242278,67475.8695594631,67475.8695594631,23258.3356257406,23258.3356257406,23240.5271787373,1164129.6008087,4151669.87743308
1994,,13679.8511949892,324709.717182185,,125686.425,713985.05040491,340724.143965111,146775.023153176,146960.188041459,,1837013.23110927,1186481.59836873,1120833.06072012,570781.79766365,124702.63739155,,2433240.11524802,1641368.45242405,1815099.04317179,129475.16350548,,189592.023309983,1116832.45682828,199834.300043263,128061.585871254,196603.229539673,,1681595.50877283,,559499.490080367,390504.811244744,159920.025090589,161660.852100744,1658370.87981233,1273079.89959027,,2200378.04676726,58880.9683282593,,2289307.23924573,25280.4789205977,79243.44756384,72337.3425744524,72337.3425744524,22839.8465418173,22839.8465418173,22822.3585236181,1106612.89673957,4159146.1645754
1995,,13567.4525545647,297650.251947179,,136515.076,729433.887672728,375697.344106974,172763.127011283,172981.077343876,,1867820.10199103,1161754.92924306,1093091.78881912,620184.506683501,131869.29981511,,2501216.67471591,1694499.34638802,1871965.98853734,128949.532025382,,193247.158712035,1123882.75891774,218315.539049174,138891.685617059,214800.561383111,,1728233.94644681,,595309.675326355,372716.536743695,186048.66066887,188073.913813448,1703417.50462436,1316353.83895893,,2311172.91715711,60452.1510554889,,2386834.70206931,25156.3013737098,80622.7188839613,83982.7107164906,83982.7107164906,22823.7508078202,22823.7508078202,22806.2751138059,1117016.31948633,4280835.92749705
1996,,14676.799513354,318188.386060548,,145194.865,777428.682434862,407112.554820015,186662.084973638,186897.569617881,,1960344.00674323,1179215.99450238,1108579.927045,674024.562762957,139767.992070081,,2608428.52663986,1751153.32945876,1937963.41251933,134994.294046514,,204190.20255491,1137865.25763723,242381.292141412,153335.679609592,238486.530779157,,1783223.45058104,,640109.750761299,392310.670264373,192383.105790148,194477.31323332,1757467.78552555,1314196.92818934,,2409625.01129969,61859.5622932352,,2492291.06237249,26576.7471959569,84571.9605935271,87575.3086992657,87575.3086992657,23527.6608794633,23527.6608794633,23509.6462154466,1127728.79165613,4450212.67038696
1997,,15981.0944732694,313248.100836214,,134545.897,805407.522564501,430323.206926954,194806.322063103,195052.081117244,,1912903.41764737,1137231.20994606,1074468.35508686,655907.540136835,146270.405202176,,2628647.78835774,1733365.39792508,1926045.09891429,138900.140275553,,212325.031493815,1122628.68948372,258190.307705029,164617.516136239,254003.45529274,,1775314.52273006,,630037.145852467,397420.387781454,191261.460345504,193343.457993907,1746586.97206651,1324057.09170744,,2436201.82525432,65923.1423760373,,2492485.4891682,27487.6852776154,89760.3913797644,95742.7362409578,95742.7362409578,24503.5362060593,24503.5362060593,24484.7743336304,1126578.23416552,4464488.33731466
1998,,16709.8286679552,332170.398311265,,130812.891,836119.952399798,408758.622008941,169261.69415772,169475.227237232,,1934419.13630918,1127832.78788023,1067241.29583363,674934.213613099,166830.502318948,,2638659.42384391,1737802.47391493,1947552.90034061,152598.905310734,,234655.836486422,1130168.12488349,285597.456752979,171537.398587943,280811.443029013,,1779584.94197726,,620694.044087691,423719.852298095,219553.540866166,221943.515066699,1748276.88850017,1298746.40410519,,2452535.11897426,55774.4278871248,,2481664.4803719,27842.7967331771,82621.5847424182,98639.7461036637,98639.7461036637,24642.1851595648,24642.1851595648,24623.3171263778,1137168.04126762,4493665.63598714
