date,Africa Eastern and Southern,Africa Western and Central,Arab World,Caribbean small states,Central Europe and the Baltics,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (excluding high income),Euro area,Europe & Central Asia,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (excluding high income),European Union,Fragile and conflict affected situations,Heavily indebted poor countries (HIPC),High income,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Least developed countries: UN classification,Low & middle income,Low income,Lower middle income,Middle East & North Africa,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (excluding high income),Middle income,North America,Not classified,OECD members,Other small states,Pacific island small states,Post-demographic dividend,Pre-demographic dividend,Small states,South Asia,South Asia (IDA & IBRD),Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (excluding high income),Upper middle income,World
1981,2.04145220730872,1.31417109434749,3.40382678970339,3.86371893260002,3.26047804810501,2.29223383854951,2.56675965052278,2.28782819044244,2.34466130274978,,2.8015879995475,3.17965341125254,2.67126569112482,2.8211717658042,1.63234268618058,0.57295871011166,2.70654274912153,2.43060074157689,2.28525906308031,1.26908424224086,0.759386428150659,1.00944266479691,2.5449113748179,2.25936978738913,2.18753052681209,2.26081002659554,0.489288065791799,2.185104744479,1.8794607275526,1.65211289540506,3.34212563361023,3.07900256840636,3.07900256840636,2.20077394297709,2.55656874873961,,2.67143894898636,2.61180322595453,,2.64470258446204,1.15260889761126,3.00134349756436,1.51525725563669,1.51525725563669,1.80852265816586,1.80852265816586,1.80852265816586,2.47404689894479,2.53798489193081
1982,2.06995247422147,1.3022898044498,2.91656909858774,3.86482122821365,3.2305967929104,2.26239286342316,2.59955530882123,2.40002341741552,2.44972237023226,,2.77573259579018,3.15526255568591,2.7985134509843,2.79484466548415,1.58378864231374,0.588842984099702,2.66541553408735,2.4746280790603,2.32138032860968,1.23249626252764,0.732587405732192,0.979161708222951,2.59310387373985,2.27631564121247,2.20750931597307,2.27474544376662,0.476552639203068,2.23278466256861,1.8056848270597,1.6458663011782,2.98707271830504,2.90140724580203,2.90140724580204,2.25473787994823,2.53595732656208,,2.64461859942102,2.49335766906512,,2.61785076321312,1.10783310538731,2.89450877511482,1.51101421100783,1.51101421100783,1.82538228682608,1.82538228682609,1.82538228682608,2.56353064516405,2.52013144342818
1983,2.11469444868719,1.17362270276209,2.88604796676234,3.64705902152726,3.26580999257046,2.28958805730296,2.61033527094461,2.44045272852849,2.49332614684644,,2.71525025875928,3.1636379914873,2.74630322068656,2.72456752236979,1.55575581707122,0.57511479740294,2.64604573510657,2.50893113753665,2.34919699195676,1.17970085557939,0.747433181652562,0.961854717292675,2.62295521510141,2.18520829359269,2.13138446231975,2.19476798081565,0.474201043801535,2.26775907879182,1.87270241995311,1.71368442790733,3.12451979469176,3.23252008046547,3.23252008046548,2.28842715061062,2.55049869032664,,2.62490784541685,2.24341734405096,,2.5974671383556,1.07490769927625,2.64443417873412,1.57810838503513,1.57810838503513,1.81646054876503,1.81646054876503,1.81646054876503,2.57827467170665,2.51627182167565
1984,2.1348047244633,1.29940421231729,3.07782298205658,3.33849677527141,3.3063230603656,2.2889253141263,2.63864832438412,2.49894153824771,2.55560897755122,,2.65509174683349,3.20945611074945,2.71204852130601,2.66503754957695,1.59909917172508,0.536871597198783,2.61229328125705,2.51518171424422,2.36293134366907,1.26170803712476,0.779516836901531,1.01672089398397,2.65603954102892,2.11692291982936,2.04888705534816,2.11685066045861,0.481580819527828,2.28519938331024,1.95748522348777,1.7289620540165,3.17578132273564,3.17738504275158,3.17738504275158,2.30205583537864,2.52096495801131,,2.5874021257329,2.22674944013093,,2.55511231607728,1.134509323626,2.54639187692332,1.56104321712209,1.56104321712209,1.87812685641343,1.87812685641343,1.87812685641343,2.58603963348915,2.49979283543855
1985,2.1511218032194,1.30043323433307,3.07647979208546,3.78575853501,3.26308013282972,2.33158483113973,2.70539998174246,2.62856471550621,2.68522264273912,,2.62294140965627,3.21890490969124,2.80867839647971,2.61821644853431,1.6165940138431,0.557523829440042,2.58802965552872,2.58206606431696,2.42206367813701,1.25463902078979,0.762274746888434,1.00654397922824,2.74446138720041,2.12940148501527,2.03547401047162,2.12937481326875,0.473285988746774,2.34970910845244,1.98361929015151,1.76337566791051,3.16820204719983,3.08238221267731,3.08238221267731,2.36825907833683,2.49852372450297,,2.56011894756098,2.2738396547348,,2.52640824877873,1.13010480568938,2.70133889405968,1.63286145223438,1.63286145223438,1.88620470840797,1.88620470840797,1.88620470840797,2.67600880092635,2.50689294269774
1986,2.1319065592294,1.22613311505673,3.2546977073751,3.10124297162382,3.23196074916173,2.37023483713603,2.70504040230935,2.64796032043148,2.71704684404093,,2.5700601693311,3.19847301380752,2.84139428847485,2.54177238735899,1.65955992504298,0.474721598751166,2.56506771090169,2.59524978700208,2.4351338988277,1.25849203808326,0.757562333477449,1.00624710122255,2.76813082201149,2.16270015234806,2.07453074416848,2.16119669716172,0.477358254638897,2.37450089006826,2.11650466434548,1.7595627102278,3.23881834817127,3.04284487580145,3.04284487580145,2.38723521824892,2.49064724239338,,2.53189994260399,2.20216845256944,,2.4955060898537,1.10639973993215,2.45298085589156,1.68415913321309,1.68415913321309,1.85350877520402,1.85350877520402,1.85350877520402,2.70771873726666,2.50032102642545
1987,2.07818710117446,1.01764474659768,2.99806533575685,3.36540358691024,3.23354367584332,2.34725650462309,2.72831883339862,2.69068740049839,2.77839840490455,,2.55199053263344,3.20238008776019,2.84749814941569,2.52737088755381,1.59995895974296,0.491669617108629,2.54264171452413,2.62473939596685,2.45757772679196,1.13327132649888,0.789457060857574,0.96287013305071,2.80404372121769,2.18317618664536,2.09602189028279,2.18493316112451,0.467953037142806,2.40712981277473,2.33484505699503,1.7787328572097,3.05954550286625,3.13157378530202,3.13157378530202,2.41058191900149,2.49785709539215,,2.52348994209189,2.17169877712163,,2.48641192859135,1.04123980563983,2.49218315415607,1.72641477692195,1.72641477692195,1.7518113670576,1.7518113670576,1.7518113670576,2.72944546558447,2.49727168795734
1988,2.09091854977815,1.16766851204526,2.92503811941108,2.78366866299011,3.12357198205085,2.37102682478743,2.79131468148249,2.74173450485465,2.84682126164718,,2.49935329149394,3.10016558751034,2.70970349719642,2.46578208019172,1.74137699351108,0.536545734125151,2.53983837196269,2.64868416139514,2.48642754518243,1.23328042248958,0.816375000718153,1.02708414471348,2.83037073696673,2.19794442481887,2.09521056871381,2.20040505603309,0.479980349999645,2.45579941898543,2.54740162455598,1.83493268060741,3.04186377628319,3.23978600478211,3.23978600478211,2.45147539403421,2.51046163445545,,2.52195311790674,2.26939420122726,,2.4906834407195,1.18881833354968,2.4097676573756,1.76955802141747,1.76955802141747,1.80913300628551,1.80913300628551,1.80913300628551,2.76101153084424,2.5137365049939
1989,2.10218017555661,0.879408696207723,2.82742892975572,2.99600451147912,3.15925599005964,2.39780108430893,2.78516688116611,2.71824037449209,2.83389455141853,,2.54672227802727,3.17066844827858,2.85184062663608,2.50070803247944,1.56595165807493,0.574630772246161,2.54902593865527,2.66340255210393,2.48587444893475,1.033247128359,0.769010142812781,0.903608537230509,2.83260887727712,2.27094559444522,2.19877956718386,2.28441202611114,0.470305575816141,2.46220152642684,2.61570369495233,1.79307104145496,2.9194738758268,3.0544705504908,3.0544705504908,2.45511165858261,2.50306774664535,,2.5417650390925,2.43951655590892,,2.50007861278532,1.03318809324804,2.59258242112614,1.84125777177628,1.84125777177628,1.71709972780766,1.71709972780766,1.71709972780766,2.79773604773101,2.52013742305607
1990,1.60819764052278,0.97239120678566,2.75175724114626,2.53310988538904,2.88978030912255,2.09411240853484,2.44324488915457,2.32451157670644,2.36543826300402,2.39955436667118,2.5220597514131,2.63022476768945,2.5743844749614,2.47573520677385,1.64194093232323,0.442210047622274,2.49635383004674,2.40555218199671,2.30993414216002,1.50788155793561,0.845370082305915,1.21677126955256,2.50183239611663,1.92117949127198,1.83640670537682,1.91468229341728,0.47025024797554,2.28250897538042,1.68335742733228,1.97995211297538,2.80143049534223,2.81076926605379,2.81076926605379,2.29921098888638,2.47567066330998,,2.47730744726759,2.58947412703572,2.26744258995158,2.47391266555476,1.05300867926513,2.57166084908285,1.71722981941179,1.71722981941179,1.40402992683355,1.40402992683355,1.40367423381788,2.43449867006028,2.39963380951199
1991,1.52488388734105,1.03620084552368,2.77085478339836,2.33257459865138,2.91531633853973,2.11407429946261,2.55029767743625,2.49082658718721,2.52519645360917,2.37253981313794,2.50162108358146,2.61542531712793,2.55491294896483,2.45638669453108,1.62856504443891,0.416894619328317,2.47699630814516,2.44829841886495,2.34607195603055,1.51033565830528,0.809001449072757,1.20686656399654,2.58546605516482,1.92387256400558,1.85916090727697,1.92449479095803,0.449430586907015,2.32170922224994,1.63253892430671,1.98465314307189,2.87270829746022,2.84591505980351,2.84591505980351,2.34104593063433,2.43815339622231,,2.45873027177383,2.4933667216406,,2.44296472317057,0.986103790424158,2.45835870214294,1.76818824959143,1.76818824959143,1.36739811349973,1.36739811349973,1.36739811349973,2.49862881473617,2.4067394074943
1992,1.53500152966779,1.1175761660869,2.5932733284551,2.1172847088918,2.93567927233445,2.11467428933127,2.55710688769022,2.52733106190166,2.55737520140081,2.3534320724371,2.50860411972485,2.65882539671013,2.60028962917559,2.44147053808487,1.56479488335318,0.415668728250171,2.45092563685543,2.47186900023281,2.36436890077311,1.54547244863294,0.749583100085768,1.20306360467843,2.60275889968223,1.91273260617588,1.87042271225342,1.91710618277186,0.443074574781677,2.3443188641839,1.53701699557273,1.98086331210388,2.73569233754879,2.84152199931968,2.84152199931968,2.36683070693746,2.42843307678343,,2.44385162082596,2.45035516796951,,2.43023368834698,1.09319300998515,2.37101681106176,1.7792424545254,1.7792424545254,1.39516431270555,1.39516431270555,1.39516431270555,2.54048410591222,2.40243722761557
1993,1.50433068134688,1.12016937671539,2.59720485257758,2.25695552657736,2.87599635454543,2.11596453295485,2.58567252480988,2.60328275978794,2.62815650653887,2.31958950949636,2.45398749688142,2.59662350229255,2.5348949964034,2.40568101902748,1.66410675144997,0.449112175009257,2.43345317988109,2.47256063928138,2.36228567702213,1.54448355093569,0.698834375149957,1.18603601455755,2.60719127506144,1.96657645692205,1.90299429532492,1.96793105039102,0.433731635183922,2.34131414817204,1.45420359071532,1.95145858810667,2.68744464510542,2.77648553964825,2.77648553964825,2.3655673120231,2.43541128416,,2.42949262832423,2.37596746002617,,2.41317461409485,1.15981662954522,2.3482446870964,1.80183521345648,1.80183521345648,1.37744062083171,1.37744062083171,1.37744062083171,2.55272272759391,2.39326830813295
