date,Africa Eastern and Southern,Africa Western and Central,Arab World,Caribbean small states,Central Europe and the Baltics,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (excluding high income),Euro area,Europe & Central Asia,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (excluding high income),European Union,Fragile and conflict affected situations,Heavily indebted poor countries (HIPC),High income,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Least developed countries: UN classification,Low & middle income,Low income,Lower middle income,Middle East & North Africa,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (excluding high income),Middle income,North America,Not classified,OECD members,Other small states,Pacific island small states,Post-demographic dividend,Pre-demographic dividend,Small states,South Asia,South Asia (IDA & IBRD),Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (excluding high income),Upper middle income,World
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,5279295.5,2060349.0,507946.169,369972.4,203939.0,8352605.2,6398280.269,4567150.7,4636451.7,813105.91,1669786.91,391522.8,238992.8,1302989.31,5338750.0,6241141.5,9931843.479,16572862.769,23936882.369,1326057.2,6037962.4,7364019.6,9488165.069,10699608.5,9961314.2,10670140.4,6332574.7,23144580.969,4070712.1,6882258.869,204711.169,191010.169,191100.969,19073868.869,6507239.3,,11356171.61,614411.1,41141.6,9580543.179,6173424.8,1025525.1,777413.8,777413.8,7339644.5,7339644.5,7339307.5,12191610.0,41282694.9
1991,5257255.464,2049660.284,505486.722,369748.93,204266.27,8362184.368,6395610.222,4566345.786,4635189.106,818981.329,1676687.769,392088.17,239386.17,1309332.159,5314907.016,6210369.914,9938720.725,16522976.626,23900829.374,1370942.266,6006910.482,7377852.748,9470051.722,10645088.61,9908594.12,10615139.0,6304248.852,23110179.614,4053279.824,6896930.626,205092.752,191304.772,191395.572,19056899.79,6507854.34,,11358023.269,612356.434,42309.26,9585989.125,6145305.624,1024414.624,829035.898,829035.898,7306915.748,7306915.748,7306578.748,12159969.164,41210027.5
1992,5235215.428,2038971.568,503027.275,369525.46,308724.52,8394379.121,6391492.775,4564429.573,4632815.213,910417.727,10239412.161,8862916.094,8691472.094,1419805.987,5383546.233,6179598.328,10049392.849,24901116.473,32285507.134,1393724.717,5990665.944,7384390.661,17692048.725,10590568.72,9855874.04,10560137.6,6275923.004,31477939.014,4035847.548,6997613.148,205474.335,191599.375,191690.175,27442091.466,6508469.38,,11445435.907,632426.748,42365.62,9835476.369,6117186.448,1044317.828,832237.496,832237.496,7274186.996,7274186.996,7273849.996,20444478.318,41137360.5
